Epoch,Joint,Rec,KLD
939,157.401,0.285,0.322
940,157.302,0.285,0.324
941,158.132,0.287,0.320
942,158.436,0.288,0.322
943,157.595,0.286,0.324
944,158.476,0.288,0.322
945,159.519,0.291,0.321
946,156.679,0.285,0.324
947,156.583,0.285,0.322
948,156.935,0.286,0.322
949,156.566,0.286,0.321
950,156.603,0.286,0.321
951,156.601,0.287,0.319
952,155.974,0.286,0.320
953,155.844,0.285,0.323
954,155.807,0.286,0.322
955,155.743,0.286,0.321
956,155.175,0.285,0.321
957,154.705,0.284,0.320
958,156.151,0.287,0.319
959,156.229,0.288,0.321
960,155.154,0.286,0.319
961,154.341,0.285,0.319
962,154.703,0.286,0.316
963,153.931,0.284,0.317
964,154.567,0.286,0.317
965,155.306,0.288,0.316
966,155.273,0.288,0.315
967,154.061,0.286,0.315
968,153.460,0.285,0.317
969,153.306,0.285,0.315
970,154.919,0.288,0.316
971,154.385,0.287,0.317
972,153.590,0.286,0.317
973,152.700,0.285,0.315
974,153.684,0.287,0.315
975,152.417,0.284,0.317
976,152.140,0.284,0.316
977,151.848,0.284,0.314
978,151.778,0.284,0.314
979,152.396,0.286,0.315
980,153.682,0.289,0.312
981,152.365,0.286,0.315
982,152.022,0.286,0.314
983,152.972,0.288,0.311
984,152.267,0.287,0.314
985,151.132,0.285,0.313
986,151.373,0.286,0.311
987,151.650,0.286,0.312
988,150.758,0.285,0.311
989,150.279,0.284,0.311
990,150.669,0.285,0.312
991,149.713,0.283,0.311
992,150.997,0.286,0.311
993,150.161,0.285,0.311
